Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,density.basis,density.gradient scale length,density.max,density.min,density.noise.max,density.noise.min,density.noise.type,drivers.E0.amplitude_shape,drivers.E0.delta_omega_max,drivers.E0.derived.tc,drivers.E0.derived.tr,drivers.E0.derived.tw,drivers.E0.derived.xc,drivers.E0.derived.xr,drivers.E0.derived.xw,drivers.E0.derived.yc,drivers.E0.derived.yr,drivers.E0.derived.yw,drivers.E0.envelope.tc,drivers.E0.envelope.tr,drivers.E0.envelope.tw,drivers.E0.envelope.xc,drivers.E0.envelope.xr,drivers.E0.envelope.xw,drivers.E0.envelope.yc,drivers.E0.envelope.yr,drivers.E0.envelope.yw,drivers.E0.num_colors,grid.boundary_abs_coeff,grid.boundary_width,grid.dt,grid.dx,grid.dy,grid.low_pass_filter,grid.max_steps,grid.nt,grid.nx,grid.ny,grid.tmax,grid.tmin,grid.xmax,grid.xmin,grid.ymax,grid.ymin,machine.calculator,mlflow.experiment,mlflow.run,save.t.dt,save.t.tmax,save.t.tmin,save.x.dx,save.x.xmax,save.y.dy,solver,terms.epw.boundary.x,terms.epw.boundary.y,terms.epw.damping.collisions,terms.epw.damping.landau,terms.epw.density_gradient,terms.epw.linear,terms.epw.source.noise,terms.epw.source.tpd,terms.zero_mask,units.atomic number,units.derived.E0_source,units.derived.I_thresh,units.derived.c,units.derived.chargeScale,units.derived.cs,units.derived.e,units.derived.fieldScale,units.derived.lambda_D,units.derived.massScale,units.derived.me,units.derived.mi,units.derived.nc,units.derived.nu_coll,units.derived.spatialScale,units.derived.timeScale,units.derived.velocityScale,units.derived.vte,units.derived.vte_sq,units.derived.w0,units.derived.w1,units.derived.wp0,units.envelope density,units.ionization state,units.laser intensity,units.laser wavelength,units.reference electron temperature,units.reference ion temperature,log10_total_e_sq,postprocess_time,run_time,system/cpu_utilization_percentage,system/disk_available_megabytes,system/disk_usage_megabytes,system/disk_usage_percentage,system/gpu_0_memory_usage_megabytes,system/gpu_0_memory_usage_percentage,system/gpu_0_utilization_percentage,system/gpu_1_memory_usage_megabytes,system/gpu_1_memory_usage_percentage,system/gpu_1_utilization_percentage,system/gpu_2_memory_usage_megabytes,system/gpu_2_memory_usage_percentage,system/gpu_2_utilization_percentage,system/gpu_3_memory_usage_megabytes,system/gpu_3_memory_usage_percentage,system/gpu_3_utilization_percentage,system/network_receive_megabytes,system/network_transmit_megabytes,system/system_memory_usage_megabytes,system/system_memory_usage_percentage,total_e_sq,mlflow_exim.mlflow_tag.runName,mlflow_exim.mlflow_tag.source.name,mlflow_exim.mlflow_tag.source.type,mlflow_exim.mlflow_tag.user,mlflow_exim.run_info.run_uuid,mlflow_exim.run_info.run_id,mlflow_exim.run_info.experiment_id,mlflow_exim.run_info.user_id,mlflow_exim.run_info.status,mlflow_exim.run_info.start_time,mlflow_exim.run_info.end_time,mlflow_exim.run_info.lifecycle_stage,mlflow_exim.run_info.artifact_uri,mlflow_exim.run_info.run_name,mlflow_exim.run_info._start_time,mlflow_exim.run_info._end_time
2024-07-21 17:54:53,17.6s,1c3757b7654942d1ba5a7fa9200cb75c,2.57W/cm^2,LOCAL,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,archis,FINISHED,linear,318um,0.3,0.2,1e-09,1e-10,uniform,uniform,0.015,20.25,0.1,40.0,50.0,0.2,1000.0,50.0,0.2,1000.0,20.25ps,0.1ps,40ps,50um,0.2um,1000um,50um,0.2um,1000um,1,1.0e4,1um,0.002,0.02,0.02,0.7,12505,12501,6360,401,25.002,0.0ns,127.19999999999997,0.0,8.0,-8.0,gpu,"I2-lowpass-threshold-L=318um, Te=2.71keV",2.57W/cm^2,1ps,25ps,0ps,80nm,127.19999999999997,128nm,envelope-2d,absorbing,periodic,False,True,True,True,True,True,True,40,1.0379134555844068e-08,1.7108202494753058,299.792458,1000000.0000000002,0.2147692300343424,4.803206799999999e-16,100000000000000.0,0.0040681920190709315,1,9.10938291e-28,6.6904876e-23,9049059268.18872,0.0001,0.0001,1e-12,100000000.0,21.832069153379855,476.6392435179602,5366.528681791605,2683.2643408958024,2683.2643408958024,0.25,6,2.57e14 W/cm^2,351nm,2.71keV,1000eV,7.299741618641766,65.1173,208.6752,1.6,268466.4,1757.4,0.7,67520,78.6,0,67530.5,78.6,0,67530.5,78.6,0,67520,78.6,0,48.92934399982914,2494.453816000372,104686.2,19.4,19940755.96554784,2.57W/cm^2,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,LOCAL,archis,95a41e96682946388cbd8cedfc62d440,95a41e96682946388cbd8cedfc62d440,839860411225751016,archis,FINISHED,1721609246125,1721609520764,active,/pscratch/sd/a/archis/mlflow/839860411225751016/95a41e96682946388cbd8cedfc62d440/artifacts,2.57W/cm^2,2024-07-21 17:47:26,2024-07-21 17:52:01
2024-07-21 17:49:51,13.5s,d1cb64a4f6724ef896ae922965205c11,2.4W/cm^2,LOCAL,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,archis,FINISHED,linear,318um,0.3,0.2,1e-09,1e-10,uniform,uniform,0.015,20.25,0.1,40.0,50.0,0.2,1000.0,50.0,0.2,1000.0,20.25ps,0.1ps,40ps,50um,0.2um,1000um,50um,0.2um,1000um,1,1.0e4,1um,0.002,0.02,0.02,0.7,12505,12501,6360,401,25.002,0.0ns,127.19999999999997,0.0,8.0,-8.0,gpu,"I2-lowpass-threshold-L=318um, Te=2.71keV",2.4W/cm^2,1ps,25ps,0ps,80nm,127.19999999999997,128nm,envelope-2d,absorbing,periodic,False,True,True,True,True,True,True,40,1.0029983103359682e-08,1.7108202494753058,299.792458,1000000.0000000002,0.2147692300343424,4.803206799999999e-16,100000000000000.0,0.0040681920190709315,1,9.10938291e-28,6.6904876e-23,9049059268.18872,0.0001,0.0001,1e-12,100000000.0,21.832069153379855,476.6392435179602,5366.528681791605,2683.2643408958024,2683.2643408958024,0.25,6,2.4e14 W/cm^2,351nm,2.71keV,1000eV,3.690058011773285,67.5803,208.0246,2.6,268466.6,1757.1,0.7,67520,78.6,100,67530.5,78.6,0,67530.5,78.6,0,67520,78.6,0,47.873391000088304,1648.375665999949,105231.9,19.5,4898.442469452533,2.4W/cm^2,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,LOCAL,archis,167aa61fa0ba40d08143deb495829491,167aa61fa0ba40d08143deb495829491,839860411225751016,archis,FINISHED,1721609040753,1721609317226,active,/pscratch/sd/a/archis/mlflow/839860411225751016/167aa61fa0ba40d08143deb495829491/artifacts,2.4W/cm^2,2024-07-21 17:44:01,2024-07-21 17:48:37
2024-07-21 17:48:47,20.3s,8b9e7bcac9d84fc5a879c542672df748,2.23W/cm^2,LOCAL,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,archis,FINISHED,linear,318um,0.3,0.2,1e-09,1e-10,uniform,uniform,0.015,20.25,0.1,40.0,50.0,0.2,1000.0,50.0,0.2,1000.0,20.25ps,0.1ps,40ps,50um,0.2um,1000um,50um,0.2um,1000um,1,1.0e4,1um,0.002,0.02,0.02,0.7,12505,12501,6360,401,25.002,0.0ns,127.19999999999997,0.0,8.0,-8.0,gpu,"I2-lowpass-threshold-L=318um, Te=2.71keV",2.23W/cm^2,1ps,25ps,0ps,80nm,127.19999999999997,128nm,envelope-2d,absorbing,periodic,False,True,True,True,True,True,True,40,9.668230860868238e-09,1.7108202494753058,299.792458,1000000.0000000002,0.2147692300343424,4.803206799999999e-16,100000000000000.0,0.0040681920190709315,1,9.10938291e-28,6.6904876e-23,9049059268.18872,0.0001,0.0001,1e-12,100000000.0,21.832069153379855,476.6392435179602,5366.528681791605,2683.2643408958024,2683.2643408958024,0.25,6,2.23e14 W/cm^2,351nm,2.71keV,1000eV,0.010441607627096436,67.8202,207.8448,4.3,268466.7,1757,0.7,67520,78.6,100,67530.5,78.6,0,67530.5,78.6,0,67520,78.6,0,34.294317999854684,1669.235565001145,105417.4,19.5,1.0243340458483827,2.23W/cm^2,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,LOCAL,archis,926a79e02d7a4f3cb9509032932eb89d,926a79e02d7a4f3cb9509032932eb89d,839860411225751016,archis,FINISHED,1721609006685,1721609283303,active,/pscratch/sd/a/archis/mlflow/839860411225751016/926a79e02d7a4f3cb9509032932eb89d/artifacts,2.23W/cm^2,2024-07-21 17:43:27,2024-07-21 17:48:03
2024-07-21 17:48:46,20.8s,01c853019a1049eebc204fe60db62a4e,2.05W/cm^2,LOCAL,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,archis,FINISHED,linear,318um,0.3,0.2,1e-09,1e-10,uniform,uniform,0.015,20.25,0.1,40.0,50.0,0.2,1000.0,50.0,0.2,1000.0,20.25ps,0.1ps,40ps,50um,0.2um,1000um,50um,0.2um,1000um,1,1.0e4,1um,0.002,0.02,0.02,0.7,12505,12501,6360,401,25.002,0.0ns,127.19999999999997,0.0,8.0,-8.0,gpu,"I2-lowpass-threshold-L=318um, Te=2.71keV",2.05W/cm^2,1ps,25ps,0ps,80nm,127.19999999999997,128nm,envelope-2d,absorbing,periodic,False,True,True,True,True,True,True,40,9.269824480540015e-09,1.7108202494753058,299.792458,1000000.0000000002,0.2147692300343424,4.803206799999999e-16,100000000000000.0,0.0040681920190709315,1,9.10938291e-28,6.6904876e-23,9049059268.18872,0.0001,0.0001,1e-12,100000000.0,21.832069153379855,476.6392435179602,5366.528681791605,2683.2643408958024,2683.2643408958024,0.25,6,2.05e14 W/cm^2,351nm,2.71keV,1000eV,-3.737861767492915,68.99,207.9343,4.3,268466.7,1757,0.7,67520,78.6,100,67530.5,78.6,0,67530.5,78.6,0,67520,78.6,0,36.00510299997404,1927.245041999966,105417.7,19.5,0.0001828682178630282,2.05W/cm^2,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,LOCAL,archis,051920ba3af74fc18b91d18f94ca51a9,051920ba3af74fc18b91d18f94ca51a9,839860411225751016,archis,FINISHED,1721609003040,1721609280869,active,/pscratch/sd/a/archis/mlflow/839860411225751016/051920ba3af74fc18b91d18f94ca51a9/artifacts,2.05W/cm^2,2024-07-21 17:43:23,2024-07-21 17:48:01
2024-07-21 17:47:51,11.4s,efdff23a37c2411f81b338ac7ecb80ea,1.88W/cm^2,LOCAL,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,archis,FINISHED,linear,318um,0.3,0.2,1e-09,1e-10,uniform,uniform,0.015,20.25,0.1,40.0,50.0,0.2,1000.0,50.0,0.2,1000.0,20.25ps,0.1ps,40ps,50um,0.2um,1000um,50um,0.2um,1000um,1,1.0e4,1um,0.002,0.02,0.02,0.7,12505,12501,6360,401,25.002,0.0ns,127.19999999999997,0.0,8.0,-8.0,gpu,"I2-lowpass-threshold-L=318um, Te=2.71keV",1.88W/cm^2,1ps,25ps,0ps,80nm,127.19999999999997,128nm,envelope-2d,absorbing,periodic,False,True,True,True,True,True,True,40,8.87714891310173e-09,1.7108202494753058,299.792458,1000000.0000000002,0.2147692300343424,4.803206799999999e-16,100000000000000.0,0.0040681920190709315,1,9.10938291e-28,6.6904876e-23,9049059268.18872,0.0001,0.0001,1e-12,100000000.0,21.832069153379855,476.6392435179602,5366.528681791605,2683.2643408958024,2683.2643408958024,0.25,6,1.88e14 W/cm^2,351nm,2.71keV,1000eV,-6.903941589823237,67.6098,207.9084,4,268466.8,1757,0.7,67517.9,78.6,0,67530.5,78.6,100,67530.5,78.6,100,67520,78.6,100,41.12217199988663,2488.2742759995162,103272.6,19.1,1.2475512916254282e-7,1.88W/cm^2,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,LOCAL,archis,dee5618522a8453f8b33b63d1d750e44,dee5618522a8453f8b33b63d1d750e44,839860411225751016,archis,FINISHED,1721608950684,1721609227174,active,/pscratch/sd/a/archis/mlflow/839860411225751016/dee5618522a8453f8b33b63d1d750e44/artifacts,1.88W/cm^2,2024-07-21 17:42:31,2024-07-21 17:47:07
2024-07-21 17:47:19,18.3s,43729bc2dd7b49ef9b97595838059c6e,1.71W/cm^2,LOCAL,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,archis,FINISHED,linear,318um,0.3,0.2,1e-09,1e-10,uniform,uniform,0.015,20.25,0.1,40.0,50.0,0.2,1000.0,50.0,0.2,1000.0,20.25ps,0.1ps,40ps,50um,0.2um,1000um,50um,0.2um,1000um,1,1.0e4,1um,0.002,0.02,0.02,0.7,12505,12501,6360,401,25.002,0.0ns,127.19999999999997,0.0,8.0,-8.0,gpu,"I2-lowpass-threshold-L=318um, Te=2.71keV",1.71W/cm^2,1ps,25ps,0ps,80nm,127.19999999999997,128nm,envelope-2d,absorbing,periodic,False,True,True,True,True,True,True,40,8.466280160185317e-09,1.7108202494753058,299.792458,1000000.0000000002,0.2147692300343424,4.803206799999999e-16,100000000000000.0,0.0040681920190709315,1,9.10938291e-28,6.6904876e-23,9049059268.18872,0.0001,0.0001,1e-12,100000000.0,21.832069153379855,476.6392435179602,5366.528681791605,2683.2643408958024,2683.2643408958024,0.25,6,1.71e14 W/cm^2,351nm,2.71keV,1000eV,-9.970851822400032,68.7942,208.2757,4.2,268467,1756.8,0.7,67517.9,78.6,100,67528.4,78.6,0,67530.5,78.6,100,67515.8,78.6,0,41.653074000030756,2488.6037719994783,101880.5,18.9,1.0694196939278524e-10,1.71W/cm^2,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,LOCAL,archis,80e7aaffa393413fb4a3f67674d97cbe,80e7aaffa393413fb4a3f67674d97cbe,839860411225751016,archis,FINISHED,1721608742556,1721609020460,active,/pscratch/sd/a/archis/mlflow/839860411225751016/80e7aaffa393413fb4a3f67674d97cbe/artifacts,1.71W/cm^2,2024-07-21 17:39:03,2024-07-21 17:43:40
2024-07-21 17:45:54,20.1s,8bc18c0dd4aa4f84a008faf4bb8e66df,1.54W/cm^2,LOCAL,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,archis,FINISHED,linear,318um,0.3,0.2,1e-09,1e-10,uniform,uniform,0.015,20.25,0.1,40.0,50.0,0.2,1000.0,50.0,0.2,1000.0,20.25ps,0.1ps,40ps,50um,0.2um,1000um,50um,0.2um,1000um,1,1.0e4,1um,0.002,0.02,0.02,0.7,12505,12501,6360,401,25.002,0.0ns,127.19999999999997,0.0,8.0,-8.0,gpu,"I2-lowpass-threshold-L=318um, Te=2.71keV",1.54W/cm^2,1ps,25ps,0ps,80nm,127.19999999999997,128nm,envelope-2d,absorbing,periodic,False,True,True,True,True,True,True,40,8.034427588578528e-09,1.7108202494753058,299.792458,1000000.0000000002,0.2147692300343424,4.803206799999999e-16,100000000000000.0,0.0040681920190709315,1,9.10938291e-28,6.6904876e-23,9049059268.18872,0.0001,0.0001,1e-12,100000000.0,21.832069153379855,476.6392435179602,5366.528681791605,2683.2643408958024,2683.2643408958024,0.25,6,1.54e14 W/cm^2,351nm,2.71keV,1000eV,-10.199056207664718,69.7304,208.7716,4.3,268467,1756.7,0.7,67517.9,78.6,100,67528.4,78.6,0,67528.4,78.6,0,67515.8,78.6,0,36.935293999966234,1673.8117490001023,99943,18.5,6.323300080771987e-11,1.54W/cm^2,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,LOCAL,archis,0dd7c78940c74c718328820f1845bf92,0dd7c78940c74c718328820f1845bf92,839860411225751016,archis,FINISHED,1721608705010,1721608984949,active,/pscratch/sd/a/archis/mlflow/839860411225751016/0dd7c78940c74c718328820f1845bf92/artifacts,1.54W/cm^2,2024-07-21 17:38:25,2024-07-21 17:43:05
2024-07-21 17:45:53,19.1s,933464774ea5465abdf1de6b18845ee1,1.37W/cm^2,LOCAL,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,archis,FINISHED,linear,318um,0.3,0.2,1e-09,1e-10,uniform,uniform,0.015,20.25,0.1,40.0,50.0,0.2,1000.0,50.0,0.2,1000.0,20.25ps,0.1ps,40ps,50um,0.2um,1000um,50um,0.2um,1000um,1,1.0e4,1um,0.002,0.02,0.02,0.7,12505,12501,6360,401,25.002,0.0ns,127.19999999999997,0.0,8.0,-8.0,gpu,"I2-lowpass-threshold-L=318um, Te=2.71keV",1.37W/cm^2,1ps,25ps,0ps,80nm,127.19999999999997,128nm,envelope-2d,absorbing,periodic,False,True,True,True,True,True,True,40,7.578004592336698e-09,1.7108202494753058,299.792458,1000000.0000000002,0.2147692300343424,4.803206799999999e-16,100000000000000.0,0.0040681920190709315,1,9.10938291e-28,6.6904876e-23,9049059268.18872,0.0001,0.0001,1e-12,100000000.0,21.832069153379855,476.6392435179602,5366.528681791605,2683.2643408958024,2683.2643408958024,0.25,6,1.37e14 W/cm^2,351nm,2.71keV,1000eV,-10.12545657999924,70.3011,208.5833,4.3,268467,1756.7,0.7,67517.9,78.6,100,67528.4,78.6,0,67528.4,78.6,0,67515.8,78.6,0,36.985902999993414,1673.8732059989125,99931,18.5,7.491062490961976e-11,1.37W/cm^2,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,LOCAL,archis,aad6aff0056d45bd8471510ce51c5d9d,aad6aff0056d45bd8471510ce51c5d9d,839860411225751016,archis,FINISHED,1721608702814,1721608983418,active,/pscratch/sd/a/archis/mlflow/839860411225751016/aad6aff0056d45bd8471510ce51c5d9d/artifacts,1.37W/cm^2,2024-07-21 17:38:23,2024-07-21 17:43:03
2024-07-21 17:42:48,14.2s,5bdd15790ea145aa86c37923fd80cf29,1.2W/cm^2,LOCAL,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,archis,FINISHED,linear,318um,0.3,0.2,1e-09,1e-10,uniform,uniform,0.015,20.25,0.1,40.0,50.0,0.2,1000.0,50.0,0.2,1000.0,20.25ps,0.1ps,40ps,50um,0.2um,1000um,50um,0.2um,1000um,1,1.0e4,1um,0.002,0.02,0.02,0.7,12505,12501,6360,401,25.002,0.0ns,127.19999999999997,0.0,8.0,-8.0,gpu,"I2-lowpass-threshold-L=318um, Te=2.71keV",1.2W/cm^2,1ps,25ps,0ps,80nm,127.19999999999997,128nm,envelope-2d,absorbing,periodic,False,True,True,True,True,True,True,40,7.092269067572123e-09,1.7108202494753058,299.792458,1000000.0000000002,0.2147692300343424,4.803206799999999e-16,100000000000000.0,0.0040681920190709315,1,9.10938291e-28,6.6904876e-23,9049059268.18872,0.0001,0.0001,1e-12,100000000.0,21.832069153379855,476.6392435179602,5366.528681791605,2683.2643408958024,2683.2643408958024,0.25,6,1.2e14 W/cm^2,351nm,2.71keV,1000eV,-10.113501399506257,68.139,208.6039,4,268467.1,1756.6,0.7,67515.8,78.6,0,67528.4,78.6,100,67528.4,78.6,100,67515.8,78.6,100,58.39321400038898,2986.2306769993156,98821.5,18.3,7.700139629965512e-11,1.2W/cm^2,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,LOCAL,archis,d0ed3027d332435882a3e09823fe3aac,d0ed3027d332435882a3e09823fe3aac,839860411225751016,archis,FINISHED,1721608652806,1721608930391,active,/pscratch/sd/a/archis/mlflow/839860411225751016/d0ed3027d332435882a3e09823fe3aac/artifacts,1.2W/cm^2,2024-07-21 17:37:33,2024-07-21 17:42:10
2024-07-21 17:41:04,21.9s,1e5fe4dc5f5f4799aa763f65075882d0,0.86W/cm^2,LOCAL,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,archis,FINISHED,linear,318um,0.3,0.2,1e-09,1e-10,uniform,uniform,0.015,20.25,0.1,40.0,50.0,0.2,1000.0,50.0,0.2,1000.0,20.25ps,0.1ps,40ps,50um,0.2um,1000um,50um,0.2um,1000um,1,1.0e4,1um,0.002,0.02,0.02,0.7,12505,12501,6360,401,25.002,0.0ns,127.19999999999997,0.0,8.0,-8.0,gpu,"I2-lowpass-threshold-L=318um, Te=2.71keV",0.86W/cm^2,1ps,25ps,0ps,80nm,127.19999999999997,128nm,envelope-2d,absorbing,periodic,False,True,True,True,True,True,True,40,6.004043169195982e-09,1.7108202494753058,299.792458,1000000.0000000002,0.2147692300343424,4.803206799999999e-16,100000000000000.0,0.0040681920190709315,1,9.10938291e-28,6.6904876e-23,9049059268.18872,0.0001,0.0001,1e-12,100000000.0,21.832069153379855,476.6392435179602,5366.528681791605,2683.2643408958024,2683.2643408958024,0.25,6,0.86e14 W/cm^2,351nm,2.71keV,1000eV,-10.112696386924114,69.2561,207.9945,4.1,268467.4,1756.3,0.6,67513.7,78.6,0,67117.3,78.1,0,67117.3,78.1,0,67513.7,78.6,100,28.30548800015822,1078.6671029999852,95460.6,17.7,7.714425922080386e-11,0.86W/cm^2,/pscratch/sd/a/archis/venvs/adept-gpu/bin/process_worker_pool.py,LOCAL,archis,3894422470fc4761827fb60f8093cf59,3894422470fc4761827fb60f8093cf59,839860411225751016,archis,FINISHED,1721608353393,1721608632301,active,/pscratch/sd/a/archis/mlflow/839860411225751016/3894422470fc4761827fb60f8093cf59/artifacts,0.86W/cm^2,2024-07-21 17:32:33,2024-07-21 17:37:12
